/home/adamm/dist/mysql/bin/mysqld, Version: 5.1.47 (MySQL Community Server (GPL)). started with:
Tcp port: 3307  Unix socket: /home/adamm/dist/mysql/mysqld.sock
Time                 Id Command    Argument
110421 12:14:56	 1260 Query	SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED
		 1260 Query	SET autocommit=0
		 1260 Query	select personnelb0_.personnel_id as personnel1_16_, personnelb0_.version_no as version13_16_, personnelb0_.level_id as level10_16_, personnelb0_.office_id as office6_16_, personnelb0_.preferred_locale as preferred5_16_, personnelb0_.global_personnel_num as global14_16_, personnelb0_.display_name as display2_16_, personnelb0_.personnel_status as personnel9_16_, personnelb0_.title as title16_, personnelb0_.search_id as search16_16_, personnelb0_.max_child_count as max17_16_, personnelb0_.password as password16_, personnelb0_.login_name as login3_16_, personnelb0_.email_id as email18_16_, personnelb0_.password_changed as password8_16_, personnelb0_.created_by as created19_16_, personnelb0_.created_date as created20_16_, personnelb0_.updated_by as updated21_16_, personnelb0_.updated_date as updated22_16_, personnelb0_.last_login as last12_16_, personnelb0_.locked as locked16_, personnelb0_.no_of_tries as no7_16_ from personnel personnelb0_ where personnelb0_.login_name='mifos'
		 1260 Query	select personnell0_.level_id as level1_29_0_, personnell0_.interaction_flag as interact2_29_0_, personnell0_.level_name_id as level3_29_0_, personnell0_.parent_level_id as parent4_29_0_ from personnel_level personnell0_ where personnell0_.level_id=2
		 1260 Query	select personnell0_.level_id as level1_29_0_, personnell0_.interaction_flag as interact2_29_0_, personnell0_.level_name_id as level3_29_0_, personnell0_.parent_level_id as parent4_29_0_ from personnel_level personnell0_ where personnell0_.level_id=1
		 1260 Query	select officebo0_.office_id as office1_15_1_, officebo0_.version_no as version4_15_1_, officebo0_.search_id as search2_15_1_, officebo0_.display_name as display5_15_1_, officebo0_.created_date as created6_15_1_, officebo0_.updated_date as updated7_15_1_, officebo0_.global_office_num as global8_15_1_, officebo0_.max_child_count as max9_15_1_, officebo0_.local_remote_flag as local10_15_1_, officebo0_.created_by as created11_15_1_, officebo0_.updated_by as updated12_15_1_, officebo0_.office_short_name as office13_15_1_, officebo0_.office_level_id as office14_15_1_, officebo0_.parent_office_id as parent3_15_1_, officebo0_.status_id as status15_15_1_, officeaddr1_.office_address_id as office1_24_0_, officeaddr1_.address_1 as address2_24_0_, officeaddr1_.address_2 as address3_24_0_, officeaddr1_.address_3 as address4_24_0_, officeaddr1_.city as city24_0_, officeaddr1_.state as state24_0_, officeaddr1_.country as country24_0_, officeaddr1_.zip as zip24_0_, officeaddr1_.telephone as telephone24_0_, officeaddr1_.office_id as office10_24_0_ from office officebo0_ left outer join office_address officeaddr1_ on officebo0_.office_id=officeaddr1_.office_id where officebo0_.office_id=1
		 1260 Query	select personneld0_.personnel_id as personnel1_28_2_, personneld0_.first_name as first2_28_2_, personneld0_.middle_name as middle3_28_2_, personneld0_.last_name as last4_28_2_, personneld0_.second_last_name as second5_28_2_, personneld0_.government_id_number as government6_28_2_, personneld0_.dob as dob28_2_, personneld0_.marital_status as marital8_28_2_, personneld0_.gender as gender28_2_, personneld0_.date_of_joining_mfi as date10_28_2_, personneld0_.date_of_joining_branch as date11_28_2_, personneld0_.date_of_leaving_branch as date12_28_2_, personneld0_.address_1 as address13_28_2_, personneld0_.address_2 as address14_28_2_, personneld0_.address_3 as address15_28_2_, personneld0_.city as city28_2_, personneld0_.state as state28_2_, personneld0_.country as country28_2_, personneld0_.postal_code as postal19_28_2_, personneld0_.telephone as telephone28_2_, personnelb1_.personnel_id as personnel1_16_0_, personnelb1_.version_no as version13_16_0_, personnelb1_.level_id as level10_16_0_, personnelb1_.office_id as office6_16_0_, personnelb1_.preferred_locale as preferred5_16_0_, personnelb1_.global_personnel_num as global14_16_0_, personnelb1_.display_name as display2_16_0_, personnelb1_.personnel_status as personnel9_16_0_, personnelb1_.title as title16_0_, personnelb1_.search_id as search16_16_0_, personnelb1_.max_child_count as max17_16_0_, personnelb1_.password as password16_0_, personnelb1_.login_name as login3_16_0_, personnelb1_.email_id as email18_16_0_, personnelb1_.password_changed as password8_16_0_, personnelb1_.created_by as created19_16_0_, personnelb1_.created_date as created20_16_0_, personnelb1_.updated_by as updated21_16_0_, personnelb1_.updated_date as updated22_16_0_, personnelb1_.last_login as last12_16_0_, personnelb1_.locked as locked16_0_, personnelb1_.no_of_tries as no7_16_0_, personneld2_.personnel_id as personnel1_28_1_, personneld2_.first_name as first2_28_1_, personneld2_.middle_name as middle3_28_1_, personneld2_.last_name as last4_28_1_, personneld2_.second_last_name as second5_28_1_, personneld2_.government_id_number as government6_28_1_, personneld2_.dob as dob28_1_, personneld2_.marital_status as marital8_28_1_, personneld2_.gender as gender28_1_, personneld2_.date_of_joining_mfi as date10_28_1_, personneld2_.date_of_joining_branch as date11_28_1_, personneld2_.date_of_leaving_branch as date12_28_1_, personneld2_.address_1 as address13_28_1_, personneld2_.address_2 as address14_28_1_, personneld2_.address_3 as address15_28_1_, personneld2_.city as city28_1_, personneld2_.state as state28_1_, personneld2_.country as country28_1_, personneld2_.postal_code as postal19_28_1_, personneld2_.telephone as telephone28_1_ from personnel_details personneld0_ left outer join personnel personnelb1_ on personneld0_.personnel_id=personnelb1_.personnel_id left outer join personnel_details personneld2_ on personnelb1_.personnel_id=personneld2_.personnel_id where personneld0_.personnel_id=1
		 1260 Query	select personnels0_.personnel_status_id as personnel1_31_0_, personnels0_.lookup_id as lookup2_31_0_ from personnel_status personnels0_ where personnels0_.personnel_status_id=1
		 1260 Query	select personnelm0_.personnel_id as personnel7_16_1_, personnelm0_.personnel_movement_id as personnel1_1_, personnelm0_.personnel_movement_id as personnel1_30_0_, personnelm0_.status as status30_0_, personnelm0_.start_date as start3_30_0_, personnelm0_.end_date as end4_30_0_, personnelm0_.updated_by as updated5_30_0_, personnelm0_.updated_date as updated6_30_0_, personnelm0_.personnel_id as personnel7_30_0_, personnelm0_.office_id as office8_30_0_ from personnel_movement personnelm0_ where personnelm0_.personnel_id=1
		 1260 Query	select personnelr0_.personnel_id as personnel2_16_1_, personnelr0_.personnel_role_id as personnel1_1_, personnelr0_.personnel_role_id as personnel1_17_0_, personnelr0_.personnel_id as personnel2_17_0_, personnelr0_.role_id as role3_17_0_ from personnel_role personnelr0_ where personnelr0_.personnel_id=1
		 1260 Query	select rolebo0_.role_id as role1_147_0_, rolebo0_.version_no as version2_147_0_, rolebo0_.role_name as role3_147_0_, rolebo0_.created_date as created4_147_0_, rolebo0_.created_by as created5_147_0_, rolebo0_.updated_by as updated6_147_0_, rolebo0_.updated_date as updated7_147_0_ from role rolebo0_ where rolebo0_.role_id=1
		 1260 Query	select distinct roleactivi0_.activity_id as col_0_0_ from roles_activity roleactivi0_ where roleactivi0_.role_id in (1)
		 1260 Query	select personnelb0_.personnel_id as personnel1_16_, personnelb0_.version_no as version13_16_, personnelb0_.level_id as level10_16_, personnelb0_.office_id as office6_16_, personnelb0_.preferred_locale as preferred5_16_, personnelb0_.global_personnel_num as global14_16_, personnelb0_.display_name as display2_16_, personnelb0_.personnel_status as personnel9_16_, personnelb0_.title as title16_, personnelb0_.search_id as search16_16_, personnelb0_.max_child_count as max17_16_, personnelb0_.password as password16_, personnelb0_.login_name as login3_16_, personnelb0_.email_id as email18_16_, personnelb0_.password_changed as password8_16_, personnelb0_.created_by as created19_16_, personnelb0_.created_date as created20_16_, personnelb0_.updated_by as updated21_16_, personnelb0_.updated_date as updated22_16_, personnelb0_.last_login as last12_16_, personnelb0_.locked as locked16_, personnelb0_.no_of_tries as no7_16_ from personnel personnelb0_ where personnelb0_.login_name='mifos'
		 1260 Query	rollback
		 1260 Query	SET autocommit=1
		 1260 Query	SET SESSION TRANSACTION ISOLATION LEVEL REPEATABLE READ
		 1260 Query	SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED
		 1260 Query	SET autocommit=0
