/home/adamm/dist/mysql/bin/mysqld, Version: 5.1.47 (MySQL Community Server (GPL)). started with:
Tcp port: 3307  Unix socket: /home/adamm/dist/mysql/mysqld.sock
Time                 Id Command    Argument
110425 12:03:33	 1346 Query	SHOW FULL TABLES FROM `test` LIKE 'PROBABLYNOT'
		 1347 Query	SHOW FULL TABLES FROM `test` LIKE 'PROBABLYNOT'
		 1345 Query	SHOW FULL TABLES FROM `test` LIKE 'PROBABLYNOT'
		 1343 Query	SHOW FULL TABLES FROM `test` LIKE 'PROBABLYNOT'
110425 12:03:37	 1347 Query	select personnelb0_.personnel_id as personnel1_18_, personnelb0_.version_no as version13_18_, personnelb0_.level_id as level10_18_, personnelb0_.office_id as office6_18_, personnelb0_.preferred_locale as preferred5_18_, personnelb0_.global_personnel_num as global14_18_, personnelb0_.display_name as display2_18_, personnelb0_.personnel_status as personnel9_18_, personnelb0_.title as title18_, personnelb0_.search_id as search16_18_, personnelb0_.max_child_count as max17_18_, personnelb0_.password as password18_, personnelb0_.login_name as login3_18_, personnelb0_.email_id as email18_18_, personnelb0_.password_changed as password8_18_, personnelb0_.created_by as created19_18_, personnelb0_.created_date as created20_18_, personnelb0_.updated_by as updated21_18_, personnelb0_.updated_date as updated22_18_, personnelb0_.last_login as last12_18_, personnelb0_.locked as locked18_, personnelb0_.no_of_tries as no7_18_ from personnel personnelb0_ where personnelb0_.login_name='mifos'
		 1347 Query	select personnell0_.level_id as level1_31_0_, personnell0_.interaction_flag as interact2_31_0_, personnell0_.level_name_id as level3_31_0_, personnell0_.parent_level_id as parent4_31_0_ from personnel_level personnell0_ where personnell0_.level_id=2
		 1347 Query	select personnell0_.level_id as level1_31_0_, personnell0_.interaction_flag as interact2_31_0_, personnell0_.level_name_id as level3_31_0_, personnell0_.parent_level_id as parent4_31_0_ from personnel_level personnell0_ where personnell0_.level_id=1
		 1347 Query	select officebo0_.office_id as office1_17_1_, officebo0_.version_no as version4_17_1_, officebo0_.search_id as search2_17_1_, officebo0_.display_name as display5_17_1_, officebo0_.created_date as created6_17_1_, officebo0_.updated_date as updated7_17_1_, officebo0_.global_office_num as global8_17_1_, officebo0_.max_child_count as max9_17_1_, officebo0_.local_remote_flag as local10_17_1_, officebo0_.created_by as created11_17_1_, officebo0_.updated_by as updated12_17_1_, officebo0_.office_short_name as office13_17_1_, officebo0_.office_level_id as office14_17_1_, officebo0_.parent_office_id as parent3_17_1_, officebo0_.status_id as status15_17_1_, officeaddr1_.office_address_id as office1_26_0_, officeaddr1_.address_1 as address2_26_0_, officeaddr1_.address_2 as address3_26_0_, officeaddr1_.address_3 as address4_26_0_, officeaddr1_.city as city26_0_, officeaddr1_.state as state26_0_, officeaddr1_.country as country26_0_, officeaddr1_.zip as zip26_0_, officeaddr1_.telephone as telephone26_0_, officeaddr1_.office_id as office10_26_0_ from office officebo0_ left outer join office_address officeaddr1_ on officebo0_.office_id=officeaddr1_.office_id where officebo0_.office_id=1
		 1347 Query	select personneld0_.personnel_id as personnel1_30_2_, personneld0_.first_name as first2_30_2_, personneld0_.middle_name as middle3_30_2_, personneld0_.last_name as last4_30_2_, personneld0_.second_last_name as second5_30_2_, personneld0_.government_id_number as government6_30_2_, personneld0_.dob as dob30_2_, personneld0_.marital_status as marital8_30_2_, personneld0_.gender as gender30_2_, personneld0_.date_of_joining_mfi as date10_30_2_, personneld0_.date_of_joining_branch as date11_30_2_, personneld0_.date_of_leaving_branch as date12_30_2_, personneld0_.address_1 as address13_30_2_, personneld0_.address_2 as address14_30_2_, personneld0_.address_3 as address15_30_2_, personneld0_.city as city30_2_, personneld0_.state as state30_2_, personneld0_.country as country30_2_, personneld0_.postal_code as postal19_30_2_, personneld0_.telephone as telephone30_2_, personnelb1_.personnel_id as personnel1_18_0_, personnelb1_.version_no as version13_18_0_, personnelb1_.level_id as level10_18_0_, personnelb1_.office_id as office6_18_0_, personnelb1_.preferred_locale as preferred5_18_0_, personnelb1_.global_personnel_num as global14_18_0_, personnelb1_.display_name as display2_18_0_, personnelb1_.personnel_status as personnel9_18_0_, personnelb1_.title as title18_0_, personnelb1_.search_id as search16_18_0_, personnelb1_.max_child_count as max17_18_0_, personnelb1_.password as password18_0_, personnelb1_.login_name as login3_18_0_, personnelb1_.email_id as email18_18_0_, personnelb1_.password_changed as password8_18_0_, personnelb1_.created_by as created19_18_0_, personnelb1_.created_date as created20_18_0_, personnelb1_.updated_by as updated21_18_0_, personnelb1_.updated_date as updated22_18_0_, personnelb1_.last_login as last12_18_0_, personnelb1_.locked as locked18_0_, personnelb1_.no_of_tries as no7_18_0_, personneld2_.personnel_id as personnel1_30_1_, personneld2_.first_name as first2_30_1_, personneld2_.middle_name as middle3_30_1_, personneld2_.last_name as last4_30_1_, personneld2_.second_last_name as second5_30_1_, personneld2_.government_id_number as government6_30_1_, personneld2_.dob as dob30_1_, personneld2_.marital_status as marital8_30_1_, personneld2_.gender as gender30_1_, personneld2_.date_of_joining_mfi as date10_30_1_, personneld2_.date_of_joining_branch as date11_30_1_, personneld2_.date_of_leaving_branch as date12_30_1_, personneld2_.address_1 as address13_30_1_, personneld2_.address_2 as address14_30_1_, personneld2_.address_3 as address15_30_1_, personneld2_.city as city30_1_, personneld2_.state as state30_1_, personneld2_.country as country30_1_, personneld2_.postal_code as postal19_30_1_, personneld2_.telephone as telephone30_1_ from personnel_details personneld0_ left outer join personnel personnelb1_ on personneld0_.personnel_id=personnelb1_.personnel_id left outer join personnel_details personneld2_ on personnelb1_.personnel_id=personneld2_.personnel_id where personneld0_.personnel_id=1
		 1347 Query	select personnels0_.personnel_status_id as personnel1_33_0_, personnels0_.lookup_id as lookup2_33_0_ from personnel_status personnels0_ where personnels0_.personnel_status_id=1
		 1347 Query	select personnelm0_.personnel_id as personnel7_18_1_, personnelm0_.personnel_movement_id as personnel1_1_, personnelm0_.personnel_movement_id as personnel1_32_0_, personnelm0_.status as status32_0_, personnelm0_.start_date as start3_32_0_, personnelm0_.end_date as end4_32_0_, personnelm0_.updated_by as updated5_32_0_, personnelm0_.updated_date as updated6_32_0_, personnelm0_.personnel_id as personnel7_32_0_, personnelm0_.office_id as office8_32_0_ from personnel_movement personnelm0_ where personnelm0_.personnel_id=1
